DANE OGŕLNE,,,,,,,,,,,,,WYDAJNO—Ź GRZEWCZA,,,,,,,,,ZU˝YCIE ENERGII,,,,,,,,
PRODUCENT,TYP,MODEL,Jednostka zew.,Jednostka wew,CENA KATALOGOWA,RABAT,CENA ZAKUPU,MOC,GRZAťKA,SCOP,ZASILANIE,GWARANCJA,-20,-15,-7,-2,2,7,12,15,20,E -20,E-15,E-7,E-2,E2,E7,E12,E15,E20
Panasonic,SPLIT,High Performance 3kW Split 1f,WH-UDZ03KE5,WH-SDC0309K3E5,22526,47%,"11938,78",3,3,"5,07",1,5,"3,2","3,2","3,3","3,24","3,2","3,2","3,2","3,2","3,2","1,49","1,37","1,18","1,01","0,88","0,6","0,6","0,6","0,6"
Panasonic,SPLIT,High Performance 5kW Split 1f,WH-UDZ05KE5,WH-SDC0309K3E5,23461,47%,"12434,33",5,3,"5,12",1,5,5,5,5,5,5,5,5,5,5,"2,31","2,11","1,79","1,57","1,4","0,98","0,98","0,98","0,98"
Panasonic,SPLIT,High Performance 7kW Split 1f,WH-UDZ07KE5,WH-SDC0309K3E5,24875,47%,"13183,75",7,3,"4,9",1,5,"5,51","5,6","5,75","6,36","6,85",7,7,7,7,"2,65","2,38","1,95","1,98",2,"1,44","1,44","1,44","1,44"
Panasonic,SPLIT,High Performance 9kW Split 1f,WH-UDZ09KE5,WH-SDC0309K3E5,27164,47%,"14396,92",9,3,"4,44",1,5,"8,12","7,4","6,25","6,67",7,9,9,9,9,"3,83","3,2","2,2","2,12","2,06","1,98","1,98","1,98","1,98"
Panasonic,SPLIT,High Performance 12kW Split 1f,WH-UD12HE5,WH-SDC12H6E5,31519,47%,"16705,07",12,6,"4,82",1,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"2,12","3,62","3,66","3,47","3,31","2,53","0,89","0,83","1,66"
Panasonic,SPLIT,High Performance 12kW Split 3f,WH-UD12HE8,WH-SDC12H9E8,32822,47%,"17395,66",12,9,"4,82",3,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"2,03","3,62","3,66","3,47","3,31","2,53","1,25","1,12","1,66"
Panasonic,SPLIT,High Performance 16kW Split 1f,WH-UD16HE5,WH-SDC16H6E5,37731,47%,"19997,43",16,6,"4,82",1,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"3,83","4,38","4,43","4,17","3,96","3,74","1,73","1,57","2,69"
Panasonic,SPLIT,High Performance 16kW Split 3f,WH-UD16HE8,WH-SDC16H9E8,39374,47%,"20868,22",16,9,"4,82",3,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"3,24","4,38","4,43","4,17","3,96","3,74","1,62","1,48","2,69"
Panasonic,SPLIT,T-CAP 9kW Split 1f,WH-UXZ09KE5,WH-SXC09K3E5,32350,47%,"17145,5",9,3,"4,96",1,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,SPLIT,T-CAP 9kW Split 3f,WH-UXZ09KE8,WH-SXC09K3E8,35795,47%,"18971,35",9,3,"4,96",3,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
